매장명,지역,지역별 매장,주소,전화번호
방배역점,서울특별시,1,서울시 서초구 방배동 924-20 디엠타워 1층,02-3487-2830
롯데마트 서초점,서울특별시,2,서울특별시 서초구 서초동 1501-1 롯데마트 B1,02-2055-3506
교대역점,서울특별시,3,서울시 서초구 서초대로 287 석정빌딩 1층,02-3478-8310
신세계백화점 강남점,서울특별시,4,서울시 서초구 신반포로 176 신세계백화점 강남점 지하 1층,02-3479-1991
파미에스테이션점,서울특별시,5,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 FP102호,02-6282-3025
반포 쌍동빌딩점,서울특별시,6,서울특별시 서초구 고무래로 26 동관 1F 폴 바셋,02-3478-8530
뉴코아 강남점,서울특별시,7,서울시 서초구 잠원로 69 뉴코아 신관 1층,02-530-5517
서초본점,서울특별시,8,서울 서초구 사임당로 157 1층 101호,02-3487-3730
강남삼성타운점,서울특별시,9,서울시 서초구 서초동 1327-1홍우제2빌딩 1층,02-523-4210
교보문고 강남점,서울특별시,10,서울시 서초구 서초동 1303-22교보타워 지하 2층,02-3478-9010
강남역 삼성화재점,서울특별시,11,서울특별시 서초구 강남대로 355 1층,02-588-2570
GFC점,서울특별시,12,서울시 강남구 테헤란로 152강남파이낸스센터 지하 1층,02-2112-3887
용산아이파크몰점,서울특별시,13,서울시 용산구 한강대로 23길 55 아이파크몰 6층,02-2012-0690
롯데백화점 관악점,서울특별시,14,서울특별시 관악구 봉천로 209 롯데백화점 관악점 1층,02-3289-8172
한남 커피스테이션 / 로스트웍스,서울특별시,15,서울시 용산구 한남동 257-13,02-792-8310
현대모터스튜디오서울점,서울특별시,16,서울시 강남구 언주로 738 현대모터스튜디오 2층,02-514-6510
강남구청역점,서울특별시,17,서울시 강남구 청담동 41-2금하빌딩 1층,02-548-1910
압구정2호점,서울특별시,18,서울시 강남구 압구정로36길 8 1층,02-546-7310
롯데백화점 강남점,서울특별시,19,서울시 강남구 도곡로 401 롯데백화점 강남점 본관 1층,02-531-2375
여의도 IFC몰점,서울특별시,20,서울시 영등포구 여의도동 23 IFC몰 L2층,02-6137-5757
여의도점,서울특별시,21,서울시 영등포구 여의대로 66 하이투자 증권빌딩 B동 1층,02-3775-2330
청담역점,서울특별시,22,서울시 강남구 삼성로 651 래미안라클래시 103호,02-540-4830
청담점,서울특별시,23,서울시 강남구 도산대로 75길 22,02-548-4310
NC타워 삼성점,서울특별시,24,서울시 강남구 테헤란로 509NC타워 1층,02-568-9410
대치역점,서울특별시,25,서울특별시 강남구 삼성로 155 대치퍼스트빌딩1층,02-501-0570
여의도 국회대로점,서울특별시,26,서울시 영등포구 국회대로68길 17 해운빌딩 1층,02-3775-2130
여의도 현대카드 CAFE,서울특별시,27,"서울시 영등포구 의사당대로 3, 현대캐피탈 빌딩 1관 1층",02-2167-5171
코엑스몰점,서울특별시,28,서울 강남구 영동대로 513 코엑스몰 P104호,02-3454-0349
영등포 타임스퀘어점,서울특별시,29,서울특별시 영등포구 영중로 15 타임스퀘어 2층 교보문고,02-2638-2372
구로 G타워점,서울특별시,30,서울특별시 구로구 디지털로26길 38 1층,02-6077-3938
신세계백화점 본점,서울특별시,31,서울시 중구 퇴계로77 신세계백화점 본점 신관 지하 1층,02-310-1233
한국경제신문사점,서울특별시,32,서울시 중구 청파로 463 한국경제신문사 1층,02-362-9495
서소문점,서울특별시,33,서울특별시 중구 서소문로 124 씨티스퀘어 1층,02-772-9830
현대 디큐브시티점,서울특별시,34,서울시 구로구 경인로 662 디큐브시티 5층,02-2210-9543
고대구로병원점,서울특별시,35,서울특별시 구로구 구로동로 148 고대구로병원 본관 1층,02-867-4030
롯데백화점 본점,서울특별시,36,서울시 중구 남대문로 81 롯데백화점 본점 지하 1층,02-726-4250
을지로 파인에비뉴점,서울특별시,37,서울특별시 중구 을지로 100파인에비뉴 1층,02-6031-5110
페럼타워점,서울특별시,38,서울시 중구 을지로 5길 19 페럼타워 1층,02-6353-8991
일원역점,서울특별시,39,서울특별시 강남구 일원동 717 1층 폴 바셋,02-445-1430
코리아나호텔점,서울특별시,40,서울시 중구 세종대로 135 코리아나호텔 1층,02-730-9455
광화문 흥국생명점,서울특별시,41,서울특별시 종로구 새문안로 68 신문로사옥1층 일,02-3210-1650
롯데마트 양평점,서울특별시,42,서울시 영등포구 양평동3가 45 롯데마트 1층,02-2672-7090
AK플라자 홍대점,서울특별시,43,서울시 마포구 양화로 188 AK플라자 홍대점 1층,02-3142-5804
종각역점,서울특별시,44,서울특별시 종로구 종로 47 SC제일은행본점 폴 바셋,02-3446-8717
교보문고 합정점,서울특별시,45,서울특별시 마포구 월드컵로 1길 14딜라이트 스퀘어 B2,02-332-3730
광화문점,서울특별시,46,서울시 종로구 종로 1길 50 더K트윈타워 1층,02-3701-9170
롯데월드 아이스링크점,서울특별시,47,서울시 송파구 올림픽로 240 롯데월드아이스링크 지하 3층,02-2143-1128
수서역점,서울특별시,48,서울시 강남구 밤고개로 1길 10 수서 현대벤처빌B2  (지하철 기준 수서역 3번출구 내 현대벤처빌 초입에 위치),02-445-4730
투고 바 롯데월드 어드벤처점,서울특별시,49,서울시 송파구 올림픽로 240,-
롯데백화점 잠실점,서울특별시,50,서울시 송파구 올림픽로 240 롯데백화점 잠실점 신관 지하 1층,02-2143-1763
혜화역점,서울특별시,51,서울특별시 종로구 동숭동 1-36,02-743-5810
청량리역점,서울특별시,52,서울특별시 동대문구 왕산로 214 청량리역3층,02-960-1710
증미역점(with 피자 일뽀르노),서울특별시,53,서울특별시 강서구 등촌동 631-5번지 1층,02-2659-0350
MBC 몰 파크점,서울특별시,54,서울시 마포구 성암로 267MBC Mall Park 103호,02-303-2330
현대백화점 천호점,서울특별시,55,서울 강동구 천호대로 1005 현대백화점 천호점 지하1층,02-2225-8952
강서 부민병원점,서울특별시,56,서울시 강서구 공항대로 389 부민병원1층,02-3662-8630
강서 마곡DT점,서울특별시,57,"서울특별시 강서구 양천로 300, 1~2층(마곡동)",02-3663-0860
롯데몰 은평점,서울특별시,58,서울 은평구 진관동 79-15 롯데몰 은평점 1,02-6975-5140
롯데백화점 김포공항점,서울특별시,59,서울시 강서구 하늘길 38 롯데백화점 김포공항점 GF층,02-6116-3059
상일동점,서울특별시,60,서울시 강동구 상일로6길 21 `한국종합기술사옥 1층,02-481-8910
롯데백화점 노원점,서울특별시,61,서울시 노원구 동일로 1414 롯데백화점 노원점 B1,02-950-2078
광명 철산DT점,경기도,1,광명시 오리로 883,02-2687-4930
롯데백화점 평촌점,경기도,2,경기도 안양시 동안구 시민대로 180 지하 1층,031-8086-9030
AK플라자 광명점,경기도,3,경기도 광명시 양지로 17  AK플라자 광명점 D동 1층,02-898-6925
스타필드시티 위례점,경기도,4,경기도 하남시 위례대로 200 4층 폴 바셋,031-8097-1443
롯데백화점 분당점,경기도,5,경기도 성남시 분당구 황새울로 200번길 45 롯데백화점 분당점 1층,031-786-1339
AK플라자 분당점,경기도,6,경기도 성남시 분당구 황새울로360번길 42AK플라자 분당점 지하 1층,031-724-4841
스타필드 고양 1호점,경기도,7,경기 고양시 덕양구 고양대로 1955스타필드 고양점 4층,031-5173-4002
북수원IC DT점,경기도,8,경기도 수원시 파장동 555-3,031-271-0910
현대백화점 중동점,경기도,9,경기도 부천시 길주로 180 현대백화점 중동점 1층,032-623-1131
현대아울렛 남양주점,경기도,10,경기도 남양주시 다산순환로50 현대아울렛 128호,031-8078-2074
신세계백화점 경기점,경기도,11,경기도 용인시 수지구 포은대로 536 신세계백화점 경기점 7층,031-695-1648
롯데몰 수지점,경기도,12,경기도 용인시 수지구 성복동 23번지 롯데몰 수지점 B1층,031-5174-4049
현대아울렛 김포점,경기도,13,경기도 김포시 고촌읍 아라육로 152번길 100 현대 프리미엄아울렛 김포점 101호,031-8048-2101
스타필드 수원점,경기도,14,수원시 장안구 수성로 175 스타필드 수원 7층 잇토피아,031-690-1731
수원 월드컵경기장점,경기도,15,경기도 수원시 팔달구 창룡대로 210번길 41 1층,031-255-0980
광교엘포트몰점,경기도,16,경기도 수원시 영통구 광교중앙로 145 광교엘포트아이파크 1층,031-213-8285
스타필드 하남 1호점,경기도,17,경기도 하남시 미사대로750 스타필드 하남 지하 1층,031-8072-8503
스타필드 하남 2호점,경기도,18,경기도 하남시 미사대로750 스타필드 하남 3층,031-8072-8432
신세계아울렛 시흥점,경기도,19,경기도 시흥시 서해안로 699신세계 시흥 프리미엄 아울렛 2503호,031-8072-3392
AK플라자 수원점,경기도,20,경기 수원시 팔달구 덕영대로 924AK플라자 수원점 지상 3층,031-240-0828
수원컨트리클럽점,경기도,21,경기도 용인시 기흥구 중부대로 495 수원컨트리클럽 골프연습장 지하 1층,031-275-3231
일산마두점,경기도,22,경기도 고양시 일산동구 중앙로 1205 차움라이프센터 1층 폴 바셋,031-906-4830
신세계백화점 의정부점,경기도,23,경기도 의정부시 평화로 525 신세계백화점 3층,031-8082-0239
캐리비안베이점,경기도,24,경기도 용인시 처인구 포곡읍 에버랜드로 199,-
용인 에버랜드점,경기도,25,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-333-6515
롯데아울렛 기흥점,경기도,26,경기 용인시 기흥구 신고매로 124,031-8036-3179
용인시청 DT점,경기도,27,경기도 용인시 처인구 삼가동 198-15,031-322-0920
롯데백화점 동탄점,경기도,28,경기도 화성시 오산동 967-2419 롯데백화점 동탄점 지하 1층,031-8036-3573
김포 구래 DT점,경기도,29,경기도 김포시 양촌읍 석모리 1030,031-985-7944
오산대 DT점,경기도,30,경기도 오산시 경기대로 464,031-376-0855
평택 소사 DT점,경기도,31,경기도 평택시 소사동 674-1,031-655-0370
스타필드 안성점,경기도,32,안성시 공도읍 서동대로 3930-39 스타필드안성점 2층 2300호,031-8092-1676
신세계 여주 프리미엄 아울렛점,경기도,33,경기도 여주시 상거동 460 신세계여주프리미엄아울렛점 200동 642호,031-8087-2642
연세와병원점,인천광역시,1,인천광역시 남동구 정각로 21,032-431-4750
송도 트리플스트리트점,인천광역시,2,"인천시 연수구 송도과학로 16번길 33-3 C동 112호, 211호",032-811-4030
송도 센트럴파크점,인천광역시,3,인천시 연수구 송도동 23-5 1층 폴 바셋,032-833-0530
인천 송도 DT점,인천광역시,4,인천광역시 연수구 테크노파크로 107,032-831-4270
영종도 파라다이스시티점,인천광역시,5,"인천 중구 영종해안남로321번길 186 영종도 파라다이스시티 플라자 ,K101-1",032-729-5135
인스파이어점,인천광역시,6,인천광역시 인천광역시 중구 운서동2955-74,032-752-9870
현대아울렛 대전점,대전광역시,1,대전시 유성구 용산동 579 현대아울렛대전점 1층,042-332-2831
대전엑스포 스카이점(with 피자 일뽀르노),대전광역시,2,대전광역시 유성구 엑스포로 1 39F,042-867-9100
갤러리아 타임월드점,대전광역시,3,대전광역시 서구 대덕대로 211 갤러리아 타임월드 11층,042-720-6081
롯데백화점 대전점,대전광역시,4,대전광역시 서구 계룡로 598롯데백화점 대전점 1층,042-601-2124
천안 성정 DT점,충청남도,1,충청남도 천안시 서북구 동서대로 103,041-551-5080
천안 구성 DT점,충청남도,2,충청남도 천안시 동남구 천안대로 552,041-523-4110
현대백화점 충청점,충청북도,1,충청북도 청주시 흥덕구 직지대로 308 현대백화점 충청점 지하1층,043-909-4032
청주 방서 DT점,충청북도,2,충청북도 청주시 상당구 방서동 55-1,043-287-0230
부산 금곡 강변점,부산광역시,1,부산광역시 북구 금곡동 94-2,051-361-0260
롯데백화점 부산본점,부산광역시,2,부산시 부산진구 가야대로 772롯데백화점 부산본점 지하2층,051-810-4021
부산 전포 DT점,부산광역시,3,부산광역시 부산진구 전포동 194-23 16번지,051-804-1170
신세계 센텀시티몰점,부산광역시,4,부산광역시 해운대구 센텀 4로 15(신세계 센텀시티몰점) 지하 2층,051-745-2323
신세계백화점 센텀시티점,부산광역시,5,부산광역시 해운대구 센텀남대로 35 신세계센텀시티 9층,051-745-2059
롯데백화점 광복점,부산광역시,6,부산광역시 중구 중앙대로 2 롯데백화점 광복점 B1,051-678-3079
해운대 아이파크점,부산광역시,7,"부산시 해운대구 우동 1408번지 아이파크 T1동 104호,105호",051-731-1410
부산 대연 DT점,부산광역시,8,부산광역시 남구 대연동 574-2번지,051-625-0650
롯데몰 동부산점,부산광역시,9,부산시 기장군 기장읍 기장해안로 147 롯데몰 동부산점 1층 F&B 코너,051-901-2735
대구 감삼 DT점,대구광역시,1,대구광역시 달서구 감삼동65-2,053-572-5530
롯데백화점 대구점,대구광역시,2,대구광역시 북구 칠성동 2가 302-155 롯데백화점 대구점 지하 2층,053-660-2085
더현대 대구점,대구광역시,3,대구 중구 달구벌대로 2077 더현대 대구점 지하1층,053-245-2811
대구 신세계백화점 1호점,대구광역시,4,대구시 동구 동부로 149 대구 신세계백화점 본관 지하 1층,053-661-1690
대구 신세계백화점 2호점,대구광역시,5,대구시 동구 효신로 88 대구 신세계백화점 별관 6층,053-661-1760
대구 만촌 DT점,대구광역시,6,대구광역시 수성구 만촌동 435-3,053-755-2170
대구 방촌 DT점,대구광역시,7,대구광역시 동구 방촌동1084-201,053-981-5230
대구 수성못점,대구광역시,8,대구광역시 수성구 두산동 652-3,053-763-1970
현대백화점 울산점,울산광역시,1,울산광역시 남구 삼산로 261 현대백화점 울산점 1층,052-228-0247
마산 회원 DT점,경상남도,1,"경상남도 창원시 마산회원구 회원동 45-9, 45-36,4-37",055-242-0350
마산 해안대로DT점,경상남도,2,창원시 마산합포구 중앙동3가 4-281,055-245-0850
롯데백화점 창원점,경상남도,3,경남 창원시 성산구 상남로 121 롯데백화점 창원점 영프라자 지하 1층,055-279-2030
양산 웅상 DT점,경상남도,4,양산시 주진동 131-22,055-372-5510
롯데아울렛 김해점,경상남도,5,경상남도 김해시 장유로 469 롯데아울렛 신관 1층,055-900-2570
거제 아주 DT점,경상남도,6,거제시 아주동 762-1,055-681-5560
구미 봉곡 DT점,경상북도,1,"경상북도 구미시 봉곡동 48-2, 48-9, 48-11, 48-12",054-458-0970
경산 임당역 DT점,경상북도,2,경상북도 경산시 중방동 35-5 폴 바셋,053-817-1880
경산 옥곡 DT점,경상북도,3,경상북도 경산시 옥곡동67-3,053-813-8550
포항 영일대 DT점(9/12 오픈 예정),경상북도,4,포항시 경상북도 포항시 북구 삼호로 291,미정
경주 교동 DT점,경상북도,5,경상북도 경주시 교촌길 12,054-745-0910
롯데아울렛 광주수완점,광주광역시,1,광주광역시 광산구 장신로 98 롯데아울렛 수완점 1층,062-616-2603
신세계백화점 광주점,광주광역시,2,광주광역시 서구 무진대로 932 신세계백화점 광주점 지하 1층,062-360-1773
롯데백화점 광주점,광주광역시,3,광주광역시 동구 독립로 268 롯데백화점 광주점,062-221-1080
롯데아울렛 남악점,전라남도,1,전라남도 전남 무안군 삼향읍 남악로 162번 80,061-801-2420
전주 금암DT점,전라북도,1,전주시 덕진구 금암동 711-3,063-251-5030
롯데백화점 전주점,전라북도,2,전주시 완산구 온고을로2 롯데백화점 전주점 1층,063-289-3050
제주 용담DT점(with 피자 일뽀르노),제주도,1,제주특별자치도 제주시 서해안로 442-1,064-749-1630
제주 아라DT점,제주도,2,제주시 아라이동 2436 폴 바셋,064-725-8270
제주 이호 DT점,제주도,3,제주시 이호일동 1907-1,064-747-3250
